tid	screen_name
7.00889E+17	ABC11_WTVD
6.89838E+17	ABC12WJRT
7.02675E+17	abc13houston
7.04343E+17	abc13houston
7.17786E+17	ABC22FOX45
7.12314E+17	ABC4Glen
7.01823E+17	abc4utah
7.01927E+17	abc4utah
7.0322E+17	abc4utah
7.10993E+17	abc4utah
7.12314E+17	abc4utah
6.92749E+17	ABC6
7.05122E+17	ABC6
7.10098E+17	ABC6
7.14893E+17	ABC6
7.2388E+17	ABC6
7.23917E+17	ABC6
6.98627E+17	abc7breaking
6.94929E+17	ABC7Chicago
7.26501E+17	abc7elex
6.95791E+17	abcnews
6.88896E+17	ABCNews4
6.84454E+17	ABCPolitics
6.84551E+17	ABCPolitics
6.86614E+17	ABCPolitics
6.95042E+17	ABCPolitics
6.95351E+17	ABCPolitics
6.96218E+17	ABCPolitics
6.96218E+17	ABCPolitics
6.96346E+17	ABCPolitics
6.9872E+17	ABCPolitics
6.9902E+17	ABCPolitics
7.02358E+17	ABCPolitics
7.05537E+17	ABCPolitics
7.07403E+17	ABCPolitics
7.08007E+17	ABCPolitics
7.11649E+17	ABCPolitics
7.12031E+17	ABCPolitics
7.12669E+17	ABCPolitics
7.14539E+17	ABCPolitics
7.14645E+17	ABCPolitics
7.21378E+17	ABCPolitics
7.22054E+17	ABCPolitics
7.22581E+17	ABCPolitics
7.23573E+17	ABCPolitics
7.23883E+17	ABCPolitics
7.25809E+17	ABCPolitics
7.27929E+17	ABCPolitics
6.84049E+17	abecker_4
6.90605E+17	abeckettwrn
7.00346E+17	abeckettwrn
7.00457E+17	abeckettwrn
7.02937E+17	abeckettwrn
7.09905E+17	abeckettwrn
7.15924E+17	abeckettwrn
7.19999E+17	abeckettwrn
7.2466E+17	abekwok
7.28217E+17	aberakov
7.19922E+17	ABetterNY
6.89628E+17	AbigailKMUW
6.95662E+17	ability360
7.08488E+17	abimott
7.0515E+17	AbingtonPolice
7.0515E+17	AbingtonSchools
7.05872E+17	abmorgan
7.06154E+17	abowersock
6.84488E+17	ABQJournal
6.8451E+17	ABQJournal
6.84806E+17	ABQJournal
6.84817E+17	ABQJournal
6.84821E+17	ABQJournal
6.84882E+17	ABQJournal
6.85287E+17	ABQJournal
6.85526E+17	ABQJournal
6.86323E+17	ABQJournal
6.86663E+17	ABQJournal
6.8702E+17	ABQJournal
6.87322E+17	ABQJournal
6.87392E+17	ABQJournal
6.87771E+17	ABQJournal
6.88054E+17	ABQJournal
6.88741E+17	ABQJournal
6.8915E+17	ABQJournal
6.89164E+17	ABQJournal
6.89508E+17	ABQJournal
6.89518E+17	ABQJournal
6.8956E+17	ABQJournal
6.89868E+17	ABQJournal
6.89874E+17	ABQJournal
6.89912E+17	ABQJournal
6.8994E+17	ABQJournal
6.89987E+17	ABQJournal
6.90227E+17	ABQJournal
6.9028E+17	ABQJournal
6.91028E+17	ABQJournal
6.91687E+17	ABQJournal
6.91719E+17	ABQJournal
6.91814E+17	ABQJournal
6.92007E+17	ABQJournal
6.92056E+17	ABQJournal
6.92066E+17	ABQJournal
6.92402E+17	ABQJournal
6.92421E+17	ABQJournal
6.92479E+17	ABQJournal
6.92528E+17	ABQJournal
6.92769E+17	ABQJournal
6.92775E+17	ABQJournal
6.92808E+17	ABQJournal
6.92815E+17	ABQJournal
6.9286E+17	ABQJournal
6.92887E+17	ABQJournal
6.93166E+17	ABQJournal
6.93172E+17	ABQJournal
6.94287E+17	ABQJournal
6.94564E+17	ABQJournal
6.94589E+17	ABQJournal
6.94595E+17	ABQJournal
6.9468E+17	ABQJournal
6.94942E+17	ABQJournal
6.94996E+17	ABQJournal
6.95316E+17	ABQJournal
6.9544E+17	ABQJournal
6.95661E+17	ABQJournal
6.95688E+17	ABQJournal
6.95703E+17	ABQJournal
6.95706E+17	ABQJournal
6.96042E+17	ABQJournal
6.96082E+17	ABQJournal
6.96092E+17	ABQJournal
6.96099E+17	ABQJournal
6.96731E+17	ABQJournal
6.96765E+17	ABQJournal
6.96786E+17	ABQJournal
6.97281E+17	ABQJournal
6.97283E+17	ABQJournal
6.97497E+17	ABQJournal
6.97501E+17	ABQJournal
6.97522E+17	ABQJournal
6.97532E+17	ABQJournal
6.97831E+17	ABQJournal
6.97859E+17	ABQJournal
6.9786E+17	ABQJournal
6.97868E+17	ABQJournal
6.97883E+17	ABQJournal
6.9791E+17	ABQJournal
6.97925E+17	ABQJournal
6.98208E+17	ABQJournal
6.98225E+17	ABQJournal
6.98291E+17	ABQJournal
6.98628E+17	ABQJournal
6.99002E+17	ABQJournal
6.99062E+17	ABQJournal
6.99272E+17	ABQJournal
6.99274E+17	ABQJournal
6.99297E+17	ABQJournal
6.99368E+17	ABQJournal
6.9938E+17	ABQJournal
6.99425E+17	ABQJournal
6.99659E+17	ABQJournal
6.99672E+17	ABQJournal
6.99743E+17	ABQJournal
6.99787E+17	ABQJournal
6.99805E+17	ABQJournal
7.00015E+17	ABQJournal
7.00029E+17	ABQJournal
7.0004E+17	ABQJournal
7.00044E+17	ABQJournal
7.00144E+17	ABQJournal
7.00155E+17	ABQJournal
7.00177E+17	ABQJournal
7.00223E+17	ABQJournal
7.0036E+17	ABQJournal
7.00367E+17	ABQJournal
7.00382E+17	ABQJournal
7.00753E+17	ABQJournal
7.00755E+17	ABQJournal
7.00758E+17	ABQJournal
7.01064E+17	ABQJournal
7.01823E+17	ABQJournal
7.01826E+17	ABQJournal
7.01856E+17	ABQJournal
7.02187E+17	ABQJournal
7.02196E+17	ABQJournal
7.02225E+17	ABQJournal
7.02574E+17	ABQJournal
7.02578E+17	ABQJournal
7.02915E+17	ABQJournal
7.0292E+17	ABQJournal
7.04423E+17	ABQJournal
7.04442E+17	ABQJournal
7.04729E+17	ABQJournal
7.04804E+17	ABQJournal
7.05097E+17	ABQJournal
7.05198E+17	ABQJournal
7.05257E+17	ABQJournal
7.05371E+17	ABQJournal
7.05394E+17	ABQJournal
7.05433E+17	ABQJournal
7.05464E+17	ABQJournal
7.05467E+17	ABQJournal
7.05473E+17	ABQJournal
7.05823E+17	ABQJournal
7.05826E+17	ABQJournal
7.05839E+17	ABQJournal
7.05923E+17	ABQJournal
7.06225E+17	ABQJournal
7.06985E+17	ABQJournal
7.07276E+17	ABQJournal
7.07314E+17	ABQJournal
7.07628E+17	ABQJournal
7.07651E+17	ABQJournal
7.07664E+17	ABQJournal
7.07672E+17	ABQJournal
7.07688E+17	ABQJournal
7.07735E+17	ABQJournal
7.08001E+17	ABQJournal
7.09457E+17	ABQJournal
7.09523E+17	ABQJournal
7.09757E+17	ABQJournal
7.10235E+17	ABQJournal
7.10507E+17	ABQJournal
7.10883E+17	ABQJournal
7.109E+17	ABQJournal
7.10966E+17	ABQJournal
7.11001E+17	ABQJournal
7.12001E+17	ABQJournal
7.12039E+17	ABQJournal
7.12332E+17	ABQJournal
7.12419E+17	ABQJournal
7.12688E+17	ABQJournal
7.1269E+17	ABQJournal
7.12697E+17	ABQJournal
7.12779E+17	ABQJournal
7.13059E+17	ABQJournal
7.13463E+17	ABQJournal
7.14512E+17	ABQJournal
7.14914E+17	ABQJournal
7.14929E+17	ABQJournal
7.15894E+17	ABQJournal
7.15923E+17	ABQJournal
7.15974E+17	ABQJournal
7.16729E+17	ABQJournal
7.17014E+17	ABQJournal
7.17018E+17	ABQJournal
7.17107E+17	ABQJournal
7.17393E+17	ABQJournal
7.174E+17	ABQJournal
7.17401E+17	ABQJournal
7.17454E+17	ABQJournal
7.17462E+17	ABQJournal
7.17485E+17	ABQJournal
7.17839E+17	ABQJournal
7.18116E+17	ABQJournal
7.18235E+17	ABQJournal
7.19582E+17	ABQJournal
7.19618E+17	ABQJournal
7.19933E+17	ABQJournal
7.1994E+17	ABQJournal
7.20015E+17	ABQJournal
7.20359E+17	ABQJournal
7.20407E+17	ABQJournal
7.21028E+17	ABQJournal
7.22521E+17	ABQJournal
7.22862E+17	ABQJournal
7.22899E+17	ABQJournal
7.23195E+17	ABQJournal
7.23198E+17	ABQJournal
7.23589E+17	ABQJournal
7.23617E+17	ABQJournal
7.24357E+17	ABQJournal
7.2465E+17	ABQJournal
7.24665E+17	ABQJournal
7.25008E+17	ABQJournal
7.25034E+17	ABQJournal
7.25089E+17	ABQJournal
7.25371E+17	ABQJournal
7.25391E+17	ABQJournal
7.29764E+17	ABQJournal
6.97872E+17	ABQJournalPhoto
6.84757E+17	ABrindisi119
7.09458E+17	ABrininstool
7.16453E+17	abrito2007
6.98665E+17	abroshar
6.98666E+17	abroshar
7.24597E+17	abtran
6.87666E+17	AC360
6.88058E+17	AC360
6.89292E+17	AC360
6.95412E+17	AC360
6.95811E+17	AC360
6.95817E+17	AC360
6.95981E+17	AC360
6.9603E+17	AC360
7.0438E+17	AC360
